model,vote_type,vote_label,n,yes,no,yes_share,accuracy,precision,recall,f1,specificity,balanced_accuracy
LFM,v_677,677 Umweltverantwortung,1514,535,979,0.3533685601056803,0.6684280052840158,0.5421994884910486,0.39626168224299063,0.45788336933045354,0.8171603677221655,0.606711024982578
Llama-3.2,v_677,677 Umweltverantwortung,1514,535,979,0.3533685601056803,0.7153236459709379,0.7653061224489796,0.2803738317757009,0.4103967168262654,0.9530132788559755,0.6166935553158382
Majority,v_677,677 Umweltverantwortung,1514,535,979,0.3533685601056803,0.6466314398943197,NaN,0.0,NaN,1.0,0.5
Qwen3,v_677,677 Umweltverantwortung,1514,535,979,0.3533685601056803,0.7397622192866579,0.6379647749510763,0.6093457943925233,0.6233269598470363,0.8110316649642493,0.7101887296783863
LFM,v_678,678 Eigenmietwert,1180,715,465,0.6059322033898306,0.5635593220338984,0.6118568232662193,0.765034965034965,0.6799254195152268,0.2537634408602151,0.50939920294759
Llama-3.2,v_678,678 Eigenmietwert,1180,715,465,0.6059322033898306,0.5661016949152542,0.6452074391988555,0.6307692307692307,0.6379066478076378,0.4666666666666667,0.5487179487179488
Majority,v_678,678 Eigenmietwert,1180,715,465,0.6059322033898306,0.6059322033898306,0.6059322033898306,1.0,0.7546174142480212,0.0,0.5
Qwen3,v_678,678 Eigenmietwert,1180,715,465,0.6059322033898306,0.5788135593220339,0.6513888888888889,0.6559440559440559,0.6536585365853658,0.46021505376344085,0.5580795548537484
LFM,v_679,679 E-ID,1189,676,513,0.5685449957947856,0.5618166526492852,0.6154992548435171,0.6109467455621301,0.613214550853749,0.49707602339181284,0.5540113844769715
Llama-3.2,v_679,679 E-ID,1189,676,513,0.5685449957947856,0.464255677039529,0.7746478873239436,0.08136094674556213,0.14725568942436412,0.9688109161793372,0.5250859314624496
Majority,v_679,679 E-ID,1189,676,513,0.5685449957947856,0.5685449957947856,0.5685449957947856,1.0,0.7249329758713138,0.0,0.5
Qwen3,v_679,679 E-ID,1189,676,513,0.5685449957947856,0.4726661059714045,0.5917602996254682,0.23372781065088757,0.33510074231177095,0.7875243664717348,0.5106260885613112
